state,FIPS,county,number,percent
AK,02013,Aleutians East Borough,214,7.8
AK,02016,Aleutians West,297,6.3
AK,02020,Anchorage Municipality,15195,7.1
AK,02050,Bethel Census Area,658,6.1
AK,02060,Bristol Bay Borough,64,8.8
AK,02068,Denali Borough,83,5.8
AK,02070,Dillingham Census Area,237,7.4
AK,02090,Fairbanks North Star,4129,5.7
AK,02100,Haines Borough,140,7
AK,02232,Hoonah-Angoon 2004 to 2008 Census,No Data,No Data
AK,02105,Hoonah-Angoon 2009 Census,135,8.1
AK,02110,Juneau City and Borough,1487,6.1
AK,02122,Kenai Peninsula Borough,2994,7.1
AK,02130,Ketchikan Gateway Borough,891,8.7
AK,02150,Kodiak Island Borough,585,5.9
AK,02164,Lake and Peninsula Borough,88,8
AK,02170,Matanuska-Susitna Borough,5238,8.1
AK,02180,Nome Census Area,426,6.9
AK,02185,North Slope Borough,518,7.4
AK,02188,Northwest Arctic Borough,324,6.8
AK,02195,Petersburg 2009 Census,201,7
AK,02198,Prince of Wales-Hyder 2009 Census,323,7.7
AK,02201,Prince of Wales-Outer K 2004 to 2008 Census,No Data,No Data
AK,02220,Sitka City and Borough,502,7.4
AK,02230,Skagway Municipality 2009 Census,56,6.7
AK,02240,Southeast Fairbanks Census,333,6.5
AK,02261,Valdez-Cordova Census Area,472,6.7
AK,02270,Wade Hampton Census Area,232,5.4
AK,02275,Wrangell City and Borough 2009 Census,159,8.7
AK,02280,Wrangell-Petersburg 2004 to 2008 Census,No Data,No Data
AK,02282,Yakutat City and Borough,39,7.9
AK,02290,Yukon-Koyukuk Census Area,328,8.1
AL,01001,Autauga County,4724,12
AL,01003,Baldwin County,15437,10.8
AL,01005,Barbour County,3377,16.2
AL,01007,Bibb County,2276,13.2
AL,01009,Blount County,5869,13.8
AL,01011,Bullock County,1527,18.6
AL,01013,Butler County,2507,16.4
AL,01015,Calhoun County,12582,14.3
AL,01017,Chambers County,4102,15.8
AL,01019,Cherokee County,2993,14.9
AL,01021,Chilton County,4234,13.2
AL,01023,Choctaw County,1960,18.9
AL,01025,Clarke County,2948,15.8
AL,01027,Clay County,1455,14.3
AL,01029,Cleburne County,1484,13.3
AL,01031,Coffee County,5313,14
AL,01033,Colbert County,6928,16.8
AL,01035,Conecuh County,1746,17.8
AL,01037,Coosa County,1441,16.7
AL,01039,Covington County,4435,15.5
AL,01041,Crenshaw County,1604,15.4
AL,01043,Cullman County,8293,13.7
AL,01045,Dale County,5358,14.5
AL,01047,Dallas County,5347,17.5
AL,01049,DeKalb County,7716,15
AL,01051,Elmore County,7530,12.6
AL,01053,Escambia County,4630,16.1
AL,01055,Etowah County,11804,15.1
AL,01057,Fayette County,2045,15.8
AL,01059,Franklin County,3121,13.5
AL,01061,Geneva County,2996,14.7
AL,01063,Greene County,1379,21
AL,01065,Hale County,1956,17.2
AL,01067,Henry County,2188,16.7
AL,01069,Houston County,10657,14
AL,01071,Jackson County,5735,14.3
AL,01073,Jefferson County,60238,12.3
AL,01075,Lamar County,1748,16.1
AL,01077,Lauderdale County,9158,13
AL,01079,Lawrence County,3977,15.7
AL,01081,Lee County,10552,9.7
AL,01083,Limestone County,7745,11.9
AL,01085,Lowndes County,1880,23.5
AL,01087,Macon County,2708,17.8
AL,01089,Madison County,29744,11.7
AL,01091,Marengo County,2778,18.5
AL,01093,Marion County,3884,16.6
AL,01095,Marshall County,9247,13.5
AL,01097,Mobile County,41997,13.9
AL,01099,Monroe County,2660,16.1
AL,01101,Montgomery County,22734,13.8
AL,01103,Morgan County,12160,13.6
AL,01105,Perry County,1285,17.9
AL,01107,Pickens County,2584,17.8
AL,01109,Pike County,3468,14
AL,01111,Randolph County,2718,16.1
AL,01113,Russell County,5782,13.9
AL,01117,Shelby County,12622,8.6
AL,01115,St. Clair County,8222,13
AL,01119,Sumter County,1589,16
AL,01121,Talladega County,8356,13.6
AL,01123,Tallapoosa County,4502,14.4
AL,01125,Tuscaloosa County,16403,11.2
AL,01127,Walker County,7742,15.5
AL,01129,Washington County,2050,16.3
AL,01131,Wilcox County,1645,20.1
AL,01133,Winston County,2268,12.2
AR,05001,Arkansas County,1829,13
AR,05003,Ashley County,2135,13.4
AR,05005,Baxter County,4364,13.2
AR,05007,Benton County,16401,10
AR,05009,Boone County,3403,12.2
AR,05011,Bradley County,1057,12.5
AR,05013,Calhoun County,540,12.9
AR,05015,Carroll County,2616,12.5
AR,05017,Chicot County,1399,16.4
AR,05019,Clark County,1933,11.5
AR,05021,Clay County,1330,11.2
AR,05023,Cleburne County,2759,13.7
AR,05025,Cleveland County,916,14.4
AR,05027,Columbia County,2226,12.6
AR,05029,Conway County,1984,12.6
AR,05031,Craighead County,8765,12.2
AR,05033,Crawford County,4959,11.1
AR,05035,Crittenden County,5381,15.6
AR,05037,Cross County,1749,13.6
AR,05039,Dallas County,843,14.1
AR,05041,Desha County,1296,14.4
AR,05043,Drew County,1695,12.4
AR,05045,Faulkner County,9247,10.8
AR,05047,Franklin County,1673,12.7
AR,05049,Fulton County,1316,13.9
AR,05051,Garland County,10348,13.9
AR,05053,Grant County,1448,10.9
AR,05055,Greene County,4318,13.8
AR,05057,Hempstead County,2265,14.2
AR,05059,Hot Spring County,3054,12.1
AR,05061,Howard County,1183,12
AR,05063,Independence County,3164,11.7
AR,05065,Izard County,1385,12.9
AR,05067,Jackson County,1724,12.7
AR,05069,Jefferson County,8230,15
AR,05071,Johnson County,2368,12.7
AR,05073,Lafayette County,864,15.3
AR,05075,Lawrence County,1533,12.1
AR,05077,Lee County,1032,13.1
AR,05079,Lincoln County,1248,11.1
AR,05081,Little River County,1225,12.8
AR,05083,Logan County,2074,12.7
AR,05085,Lonoke County,6221,12.6
AR,05087,Madison County,1467,12.7
AR,05089,Marion County,1648,12.3
AR,05091,Miller County,3792,11.8
AR,05093,Mississippi County,4699,14.7
AR,05095,Monroe County,986,16.5
AR,05097,Montgomery County,907,12.5
AR,05099,Nevada County,926,13.9
AR,05101,Newton County,740,11.7
AR,05103,Ouachita County,2535,13.4
AR,05105,Perry County,944,12.1
AR,05107,Phillips County,2206,15.2
AR,05109,Pike County,1015,12.3
AR,05111,Poinsett County,2267,12.7
AR,05113,Polk County,1946,12.8
AR,05115,Pope County,5387,11.8
AR,05117,Prairie County,886,13.6
AR,05119,Pulaski County,32251,11.2
AR,05121,Randolph County,1480,11
AR,05125,Saline County,8689,10.5
AR,05127,Scott County,986,12.3
AR,05129,Searcy County,799,12.8
AR,05131,Sebastian County,11806,12.8
AR,05133,Sevier County,1434,12.2
AR,05135,Sharp County,1691,12.9
AR,05123,St. Francis County,2841,13.7
AR,05137,Stone County,1286,13.2
AR,05139,Union County,3963,13.1
AR,05141,Van Buren County,1805,13.6
AR,05143,Washington County,11726,7.9
AR,05145,White County,5751,10.1
AR,05147,Woodruff County,741,13.9
AR,05149,Yell County,1948,12.3
AZ,04001,Apache County,7363,15.3
AZ,04003,Cochise County,9600,9.8
AZ,04005,Coconino County,7304,7.5
AZ,04007,Gila County,4801,11.8
AZ,04009,Graham County,2504,9.9
AZ,04011,Greenlee County,552,9.2
AZ,04012,La Paz County,2235,13.7
AZ,04013,Maricopa County,240523,8.5
AZ,04015,Mohave County,18913,11.9
AZ,04017,Navajo County,9105,12.4
AZ,04019,Pima County,62949,8.5
AZ,04021,Pinal County,34897,12.5
AZ,04023,Santa Cruz County,2183,6.9
AZ,04025,Yavapai County,17618,10.4
AZ,04027,Yuma County,15046,10.7
CA,06001,Alameda County,96007,8.2
CA,06003,Alpine County,91,10.4
CA,06005,Amador County,2785,9.1
CA,06007,Butte County,16176,9.7
CA,06009,Calaveras County,3411,9.6
CA,06011,Colusa County,1334,9.2
CA,06013,Contra Costa County,71764,9.1
CA,06015,Del Norte County,1950,9
CA,06017,El Dorado County,10808,7.9
CA,06019,Fresno County,57294,8.9
CA,06021,Glenn County,1694,8.7
CA,06023,Humboldt County,9265,9
CA,06025,Imperial County,9717,8.1
CA,06027,Inyo County,1410,9.9
CA,06029,Kern County,51580,9
CA,06031,Kings County,8347,7.9
CA,06033,Lake County,5171,10.5
CA,06035,Lassen County,2068,7.6
CA,06037,Los Angeles County,618803,8.5
CA,06039,Madera County,8696,8.3
CA,06041,Marin County,13658,6.9
CA,06043,Mariposa County,1489,10.3
CA,06045,Mendocino County,5636,8.5
CA,06047,Merced County,15394,8.9
CA,06049,Modoc County,699,9.8
CA,06051,Mono County,808,7.3
CA,06053,Monterey County,21381,7.1
CA,06055,Napa County,8106,7.8
CA,06057,Nevada County,5661,7.2
CA,06059,Orange County,174950,7.7
CA,06061,Placer County,21280,8
CA,06063,Plumas County,1440,9.3
CA,06065,Riverside County,146853,9.3
CA,06067,Sacramento County,87701,8.3
CA,06069,San Benito County,2849,7.2
CA,06071,San Bernardino County,131498,9.2
CA,06073,San Diego County,171503,7.3
CA,06075,San Francisco County,51351,7.3
CA,06077,San Joaquin County,51190,10.7
CA,06079,San Luis Obispo County,17259,8.2
CA,06081,San Mateo County,43949,7.8
CA,06083,Santa Barbara County,20941,6.7
CA,06085,Santa Clara County,107945,8
CA,06087,Santa Cruz County,12732,6.4
CA,06089,Shasta County,13137,9.7
CA,06091,Sierra County,254,10.1
CA,06093,Siskiyou County,2930,8.6
CA,06095,Solano County,31473,10.1
CA,06097,Sonoma County,25600,6.9
CA,06099,Stanislaus County,33650,9.3
CA,06101,Sutter County,5861,8.8
CA,06103,Tehama County,4415,9.6
CA,06105,Trinity County,1041,9.5
CA,06107,Tulare County,21147,7.2
CA,06109,Tuolumne County,4310,9.9
CA,06111,Ventura County,44990,7.5
CA,06113,Yolo County,9777,6.6
CA,06115,Yuba County,4299,8.6
CO,08001,Adams County,22403,7
CO,08003,Alamosa County,741,6.6
CO,08005,Arapahoe County,25428,5.9
CO,08007,Archuleta County,570,6
CO,08009,Baca County,236,8.2
CO,08011,Bent County,318,6.8
CO,08013,Boulder County,10179,4.5
CO,08014,Broomfield County,2475,5.8
CO,08015,Chaffee County,967,6.5
CO,08017,Cheyenne County,97,7.2
CO,08019,Clear Creek County,527,7.1
CO,08021,Conejos County,380,6.6
CO,08023,Costilla County,231,8.3
CO,08025,Crowley County,285,6.2
CO,08027,Custer County,271,7.7
CO,08029,Delta County,1836,7.9
CO,08031,Denver County,30383,6.2
CO,08033,Dolores County,120,7.9
CO,08035,Douglas County,9824,4.8
CO,08037,Eagle County,1403,3.6
CO,08041,El Paso County,30209,6.6
CO,08039,Elbert County,960,5.6
CO,08043,Fremont County,3048,8
CO,08045,Garfield County,1915,4.8
CO,08047,Gilpin County,291,6.5
CO,08049,Grand County,600,5.4
CO,08051,Gunnison County,573,4.8
CO,08053,Hinsdale County,44,6.9
CO,08055,Huerfano County,432,8
CO,08057,Jackson County,70,6.4
CO,08059,Jefferson County,22187,5.3
CO,08061,Kiowa County,89,8.2
CO,08063,Kit Carson County,512,8.4
CO,08067,La Plata County,2148,5.4
CO,08065,Lake County,269,5
CO,08069,Larimer County,11864,5.1
CO,08071,Las Animas County,810,7
CO,08073,Lincoln County,332,7.8
CO,08075,Logan County,1224,7.1
CO,08077,Mesa County,7932,7.3
CO,08079,Mineral County,44,7.3
CO,08081,Moffat County,574,6.1
CO,08083,Montezuma County,1295,6.8
CO,08085,Montrose County,1966,6.5
CO,08087,Morgan County,1589,8
CO,08089,Otero County,972,7.2
CO,08091,Ouray County,237,6.4
CO,08093,Park County,823,6.3
CO,08095,Phillips County,250,7.8
CO,08097,Pitkin County,693,4.9
CO,08099,Prowers County,614,7.1
CO,08101,Pueblo County,10990,9.3
CO,08103,Rio Blanco County,291,6
CO,08105,Rio Grande County,607,7
CO,08107,Routt County,720,4
CO,08109,Saguache County,306,6.5
CO,08111,San Juan County,36,6.2
CO,08113,San Miguel County,288,4.8
CO,08115,Sedgwick County,153,8.2
CO,08117,Summit County,912,4
CO,08119,Teller County,1082,5.9
CO,08121,Washington County,248,6.9
CO,08123,Weld County,11943,6.5
CO,08125,Yuma County,454,6.3
CT,09001,Fairfield County,54161,7.9
CT,09003,Hartford County,62845,9.3
CT,09005,Litchfield County,10400,7.2
CT,09007,Middlesex County,10835,8.5
CT,09009,New Haven County,60796,9.4
CT,09011,New London County,18491,8.8
CT,09013,Tolland County,8060,7.1
CT,09015,Windham County,9123,10.3
DC,11001,District of Columbia,40849,8.1
DE,10001,Kent County,14990,12.3
DE,10003,New Castle County,36030,8.9
DE,10005,Sussex County,19641,12.4
FL,12001,Alachua County,15997,8.3
FL,12003,Baker County,2603,13.3
FL,12005,Bay County,14720,11.2
FL,12007,Bradford County,2973,14.1
FL,12009,Brevard County,51846,12
FL,12011,Broward County,129759,9.4
FL,12013,Calhoun County,1798,15.9
FL,12015,Charlotte County,19831,14.4
FL,12017,Citrus County,15780,13.7
FL,12019,Clay County,17046,12.1
FL,12021,Collier County,23644,9
FL,12023,Columbia County,6603,12.8
FL,12027,DeSoto County,3607,13.7
FL,12029,Dixie County,1901,15
FL,12031,Duval County,70613,10.8
FL,12033,Escambia County,29315,12.9
FL,12035,Flagler County,9365,12
FL,12037,Franklin County,1054,11.1
FL,12039,Gadsden County,5893,16.8
FL,12041,Gilchrist County,1092,8.6
FL,12043,Glades County,1530,14.4
FL,12045,Gulf County,1489,11.5
FL,12047,Hamilton County,1506,13
FL,12049,Hardee County,2511,13
FL,12051,Hendry County,3668,14.1
FL,12053,Hernando County,18439,13.5
FL,12055,Highlands County,11339,14.5
FL,12057,Hillsborough County,99791,10.5
FL,12059,Holmes County,2264,14.8
FL,12061,Indian River County,12919,11.5
FL,12063,Jackson County,4393,11.4
FL,12065,Jefferson County,1391,12.2
FL,12067,Lafayette County,849,12.5
FL,12069,Lake County,32754,13.9
FL,12071,Lee County,48931,9.6
FL,12073,Leon County,17045,8
FL,12075,Levy County,4385,14.1
FL,12077,Liberty County,875,13.6
FL,12079,Madison County,2300,15.7
FL,12081,Manatee County,26656,10.2
FL,12083,Marion County,34138,12.9
FL,12085,Martin County,13479,11.2
FL,12086,Miami-Dade County,158849,8
FL,12087,Monroe County,5291,8.5
FL,12089,Nassau County,6192,10.8
FL,12091,Okaloosa County,13790,9.6
FL,12093,Okeechobee County,3280,11.2
FL,12095,Orange County,76796,8.7
FL,12097,Osceola County,23172,11.2
FL,12099,Palm Beach County,104685,10
FL,12101,Pasco County,43506,12
FL,12103,Pinellas County,80026,10.8
FL,12105,Polk County,60210,13.1
FL,12107,Putnam County,7156,12.9
FL,12113,Santa Rosa County,10342,8.7
FL,12115,Sarasota County,36058,11.3
FL,12117,Seminole County,32862,10.1
FL,12109,St. Johns County,13275,8.7
FL,12111,St. Lucie County,24891,11.5
FL,12119,Sumter County,13340,14.4
FL,12121,Suwannee County,4657,14
FL,12123,Taylor County,2799,15.6
FL,12125,Union County,1518,12.7
FL,12127,Volusia County,45175,11.5
FL,12129,Wakulla County,2763,11.8
FL,12131,Walton County,5082,11.3
FL,12133,Washington County,2487,12.9
GA,13001,Appling County,1924,14.4
GA,13003,Atkinson County,650,11.4
GA,13005,Bacon County,845,10.6
GA,13007,Baker County,361,14.3
GA,13009,Baldwin County,4350,12.7
GA,13011,Banks County,1455,10.8
GA,13013,Barrow County,5530,11.2
GA,13015,Bartow County,8663,12
GA,13017,Ben Hill County,1747,13.9
GA,13019,Berrien County,1757,12.5
GA,13021,Bibb County,13019,11.6
GA,13023,Bleckley County,1326,14.3
GA,13025,Brantley County,1491,11.1
GA,13027,Brooks County,1753,14.9
GA,13029,Bryan County,2564,11.6
GA,13031,Bulloch County,6105,11.7
GA,13033,Burke County,2322,14.2
GA,13035,Butts County,2126,12
GA,13037,Calhoun County,699,13.7
GA,13039,Camden County,3758,10.3
GA,13043,Candler County,978,12.4
GA,13045,Carroll County,9167,11.6
GA,13047,Catoosa County,5985,12.5
GA,13049,Charlton County,1185,11.4
GA,13051,Chatham County,21364,10.4
GA,13053,Chattahoochee County,584,6.6
GA,13055,Chattooga County,2309,12
GA,13057,Cherokee County,14288,9.1
GA,13059,Clarke County,7829,8.8
GA,13061,Clay County,392,16.5
GA,13063,Clayton County,20477,11.2
GA,13065,Clinch County,665,13.8
GA,13067,Cobb County,45757,8.9
GA,13069,Coffee County,3418,11
GA,13071,Colquitt County,3927,12.1
GA,13073,Columbia County,9407,10.1
GA,13075,Cook County,1553,12.9
GA,13077,Coweta County,10356,11.1
GA,13079,Crawford County,1262,13.2
GA,13081,Crisp County,2392,14
GA,13083,Dade County,1527,12.3
GA,13085,Dawson County,1842,10.9
GA,13087,Decatur County,2397,12.1
GA,13089,DeKalb County,51602,9.9
GA,13091,Dodge County,2278,14.2
GA,13093,Dooly County,1572,14.2
GA,13095,Dougherty County,8209,12.2
GA,13097,Douglas County,10800,11.5
GA,13099,Early County,1034,13.5
GA,13101,Echols County,302,10.7
GA,13103,Effingham County,4023,10.8
GA,13105,Elbert County,1878,12.7
GA,13107,Emanuel County,1863,11.2
GA,13109,Evans County,1098,14.3
GA,13111,Fannin County,2131,11.4
GA,13113,Fayette County,8586,11.1
GA,13115,Floyd County,9058,13
GA,13117,Forsyth County,13252,10.4
GA,13119,Franklin County,1936,11.8
GA,13121,Fulton County,57454,8
GA,13123,Gilmer County,2517,11.6
GA,13125,Glascock County,272,12.1
GA,13127,Glynn County,6508,10.8
GA,13129,Gordon County,4052,10.2
GA,13131,Grady County,2119,11.6
GA,13133,Greene County,1962,15.5
GA,13135,Gwinnett County,47000,8.1
GA,13137,Habersham County,3563,11.1
GA,13139,Hall County,15170,11.7
GA,13141,Hancock County,1103,15.2
GA,13143,Haralson County,2439,11.8
GA,13145,Harris County,3459,14.2
GA,13147,Hart County,2407,12.4
GA,13149,Heard County,1011,11.9
GA,13151,Henry County,15926,11.1
GA,13153,Houston County,11719,11.3
GA,13155,Irwin County,887,12.2
GA,13157,Jackson County,4011,9.2
GA,13159,Jasper County,1151,11.5
GA,13161,Jeff Davis County,1392,13.1
GA,13163,Jefferson County,1776,14.8
GA,13165,Jenkins County,853,12.5
GA,13167,Johnson County,976,12.7
GA,13169,Jones County,2761,13.3
GA,13171,Lamar County,1590,12.1
GA,13173,Lanier County,807,10.6
GA,13175,Laurens County,4480,12.9
GA,13177,Lee County,2173,10.8
GA,13179,Liberty County,4129,9.3
GA,13181,Lincoln County,851,14
GA,13183,Long County,1050,9.5
GA,13185,Lowndes County,8354,10.4
GA,13187,Lumpkin County,2275,10
GA,13193,Macon County,1421,13
GA,13195,Madison County,2568,12.4
GA,13197,Marion County,946,14.7
GA,13189,McDuffie County,2664,17.1
GA,13191,McIntosh County,1586,14.7
GA,13199,Meriwether County,2091,13.1
GA,13201,Miller County,576,13
GA,13205,Mitchell County,2171,12.8
GA,13207,Monroe County,2671,13.2
GA,13209,Montgomery County,912,13.7
GA,13211,Morgan County,1606,12.2
GA,13213,Murray County,3335,11.8
GA,13215,Muscogee County,18156,12.7
GA,13217,Newton County,7801,11.1
GA,13219,Oconee County,2302,9.8
GA,13221,Oglethorpe County,1371,12.5
GA,13223,Paulding County,12177,12.3
GA,13225,Peach County,2496,12.7
GA,13227,Pickens County,2839,12.6
GA,13229,Pierce County,1558,11.4
GA,13231,Pike County,1520,11.9
GA,13233,Polk County,3427,11.6
GA,13235,Pulaski County,1227,13.5
GA,13237,Putnam County,2103,13
GA,13239,Quitman County,316,16.8
GA,13241,Rabun County,1768,13.9
GA,13243,Randolph County,901,16.4
GA,13245,Richmond County,18114,12.3
GA,13247,Rockdale County,8474,13.9
GA,13249,Schley County,441,12.7
GA,13251,Screven County,1352,12.9
GA,13253,Seminole County,954,14.2
GA,13255,Spalding County,6255,13.4
GA,13257,Stephens County,2665,13.8
GA,13259,Stewart County,654,13
GA,13261,Sumter County,2906,12.9
GA,13263,Talbot County,866,16.9
GA,13265,Taliaferro County,214,16
GA,13267,Tattnall County,2027,10.5
GA,13269,Taylor County,828,13.2
GA,13271,Telfair County,1602,12.3
GA,13273,Terrell County,977,14.6
GA,13275,Thomas County,4622,14.1
GA,13277,Tift County,3879,13.3
GA,13279,Toombs County,2682,14.1
GA,13281,Towns County,1089,13
GA,13283,Treutlen County,594,11.9
GA,13285,Troup County,6418,13.2
GA,13287,Turner County,788,12.9
GA,13289,Twiggs County,1003,15
GA,13291,Union County,2718,15.6
GA,13293,Upson County,2527,12.7
GA,13295,Walker County,6872,13.5
GA,13297,Walton County,6970,11.6
GA,13299,Ware County,3459,13
GA,13301,Warren County,634,15.1
GA,13303,Washington County,2133,13.7
GA,13305,Wayne County,2874,12.9
GA,13307,Webster County,298,14.4
GA,13309,Wheeler County,718,11.2
GA,13311,White County,2300,11.1
GA,13313,Whitfield County,8189,11.4
GA,13315,Wilcox County,786,11.1
GA,13317,Wilkes County,1258,16.5
GA,13319,Wilkinson County,941,13.3
GA,13321,Worth County,2162,13.5
HI,15001,Hawaii County,11040,7.8
HI,15003,Honolulu County,59786,8.1
HI,15005,Kalawao County,11,12
HI,15007,Kauai County,4428,8.6
HI,15009,Maui County,9305,7.8
IA,19001,Adair County,706,12.4
IA,19003,Adams County,302,10
IA,19005,Allamakee County,971,9.1
IA,19007,Appanoose County,1128,11.7
IA,19009,Audubon County,488,10.8
IA,19011,Benton County,1881,10
IA,19013,Black Hawk County,9050,9.2
IA,19015,Boone County,1887,9.6
IA,19017,Bremer County,1674,9.3
IA,19019,Buchanan County,1447,9.7
IA,19021,Buena Vista County,1460,10
IA,19023,Butler County,1132,10.2
IA,19025,Calhoun County,874,11.4
IA,19027,Carroll County,1554,10.3
IA,19029,Cass County,1025,9.9
IA,19031,Cedar County,1464,10.7
IA,19033,Cerro Gordo County,3826,11.5
IA,19035,Cherokee County,1035,11.2
IA,19037,Chickasaw County,934,10.3
IA,19039,Clarke County,667,9.8
IA,19041,Clay County,1199,9.6
IA,19043,Clayton County,1211,9
IA,19045,Clinton County,4325,12
IA,19047,Crawford County,1286,10.5
IA,19049,Dallas County,3980,8
IA,19051,Davis County,681,11.3
IA,19053,Decatur County,623,10.4
IA,19055,Delaware County,1357,10.5
IA,19057,Des Moines County,3480,11.5
IA,19059,Dickinson County,1330,10
IA,19061,Dubuque County,6939,9.9
IA,19063,Emmet County,806,10.8
IA,19065,Fayette County,1627,10.5
IA,19067,Floyd County,1498,12.5
IA,19069,Franklin County,821,10.5
IA,19071,Fremont County,576,10.6
IA,19073,Greene County,708,10.3
IA,19075,Grundy County,961,10.4
IA,19077,Guthrie County,786,9.7
IA,19079,Hamilton County,1296,11.4
IA,19081,Hancock County,855,10.2
IA,19083,Hardin County,1340,10.3
IA,19085,Harrison County,1160,10.7
IA,19087,Henry County,1643,11
IA,19089,Howard County,765,11
IA,19091,Humboldt County,753,10.4
IA,19093,Ida County,573,10.9
IA,19095,Iowa County,1122,9.3
IA,19097,Jackson County,1721,11.7
IA,19099,Jasper County,2911,10.5
IA,19101,Jefferson County,1413,10.5
IA,19103,Johnson County,5114,5
IA,19105,Jones County,1486,9.5
IA,19107,Keokuk County,859,11.1
IA,19109,Kossuth County,1351,11.7
IA,19111,Lee County,2941,10.8
IA,19113,Linn County,14640,9.3
IA,19115,Louisa County,876,10.7
IA,19117,Lucas County,733,11.3
IA,19119,Lyon County,765,9.3
IA,19121,Madison County,1231,11
IA,19123,Mahaska County,1703,10.4
IA,19125,Marion County,2420,10.1
IA,19127,Marshall County,3117,10.5
IA,19129,Mills County,1001,9.3
IA,19131,Mitchell County,781,9.9
IA,19133,Monona County,771,11
IA,19135,Monroe County,651,11
IA,19137,Montgomery County,884,11.2
IA,19139,Muscatine County,3017,9.8
IA,19141,O'Brien County,1032,9.8
IA,19143,Osceola County,532,11.4
IA,19145,Page County,1389,11.5
IA,19147,Palo Alto County,766,11
IA,19149,Plymouth County,1972,10.9
IA,19151,Pocahontas County,655,11.9
IA,19153,Polk County,26417,8.3
IA,19155,Pottawattamie County,7984,11.7
IA,19157,Poweshiek County,1377,9.9
IA,19159,Ringgold County,433,11.5
IA,19161,Sac County,796,10.3
IA,19163,Scott County,10414,8.4
IA,19165,Shelby County,1038,11.5
IA,19167,Sioux County,1983,8.4
IA,19169,Story County,4255,6.2
IA,19171,Tama County,1406,11
IA,19173,Taylor County,479,10.4
IA,19175,Union County,1189,12.8
IA,19177,Van Buren County,594,10.7
IA,19179,Wapello County,3029,11.5
IA,19181,Warren County,3465,10.3
IA,19183,Washington County,1623,10.2
IA,19185,Wayne County,563,11.9
IA,19187,Webster County,2789,10.1
IA,19189,Winnebago County,820,10.2
IA,19191,Winneshiek County,1166,7.4
IA,19193,Woodbury County,7265,10.1
IA,19195,Worth County,594,10.5
IA,19197,Wright County,903,9.3
ID,16001,Ada County,22513,7.7
ID,16003,Adams County,372,11.8
ID,16005,Bannock County,5986,10.2
ID,16007,Bear Lake County,380,9.2
ID,16009,Benewah County,730,10.6
ID,16011,Bingham County,3444,11.7
ID,16013,Blaine County,1016,6.5
ID,16015,Boise County,523,9.8
ID,16017,Bonner County,2715,8.7
ID,16019,Bonneville County,6512,9.2
ID,16021,Boundary County,783,9.8
ID,16023,Butte County,197,10.1
ID,16025,Camas County,77,9.7
ID,16027,Canyon County,13567,10.5
ID,16029,Caribou County,470,10
ID,16031,Cassia County,1560,10.3
ID,16033,Clark County,58,9.6
ID,16035,Clearwater County,791,11.3
ID,16037,Custer County,348,10.1
ID,16039,Elmore County,1732,9.4
ID,16041,Franklin County,667,8.3
ID,16043,Fremont County,783,8.9
ID,16045,Gem County,1239,10
ID,16047,Gooding County,1132,10.9
ID,16049,Idaho County,1402,11.1
ID,16051,Jefferson County,1515,9.1
ID,16053,Jerome County,1283,8.6
ID,16055,Kootenai County,9672,9.2
ID,16057,Latah County,1991,7
ID,16059,Lemhi County,744,12
ID,16061,Lewis County,326,11.1
ID,16063,Lincoln County,292,8.4
ID,16065,Madison County,1357,5.5
ID,16067,Minidoka County,1649,12
ID,16069,Nez Perce County,3338,11.1
ID,16071,Oneida County,355,12.1
ID,16073,Owyhee County,855,10.8
ID,16075,Payette County,1467,9.3
ID,16077,Power County,451,8.7
ID,16079,Shoshone County,1067,10.8
ID,16081,Teton County,456,6.6
ID,16083,Twin Falls County,4782,8.7
ID,16085,Valley County,689,9.1
ID,16087,Washington County,854,11.6
IL,17001,Adams County,4814,9.6
IL,17003,Alexander County,747,12.8
IL,17005,Bond County,1459,10.8
IL,17007,Boone County,3668,9.8
IL,17009,Brown County,518,9.1
IL,17011,Bureau County,3001,11.6
IL,17013,Calhoun County,421,10.9
IL,17015,Carroll County,1384,11.8
IL,17017,Cass County,1024,10.5
IL,17019,Champaign County,11735,7.8
IL,17021,Christian County,2935,11.2
IL,17023,Clark County,1316,10.8
IL,17025,Clay County,1194,11.5
IL,17027,Clinton County,2458,8.5
IL,17029,Coles County,3390,8.3
IL,17031,Cook County,328064,8.5
IL,17033,Crawford County,1698,11.1
IL,17035,Cumberland County,916,11.2
IL,17039,De Witt County,1421,11.4
IL,17037,DeKalb County,6106,8.1
IL,17041,Douglas County,1497,10.4
IL,17043,DuPage County,57437,8.5
IL,17045,Edgar County,1578,11.4
IL,17047,Edwards County,534,10.6
IL,17049,Effingham County,2567,10.2
IL,17051,Fayette County,1927,11.6
IL,17053,Ford County,1161,11.1
IL,17055,Franklin County,3490,11.7
IL,17057,Fulton County,3221,11.4
IL,17059,Gallatin County,490,11.5
IL,17061,Greene County,1200,11.7
IL,17063,Grundy County,3460,9.7
IL,17065,Hamilton County,696,11
IL,17067,Hancock County,1527,10.6
IL,17069,Hardin County,400,12.1
IL,17071,Henderson County,647,11.7
IL,17073,Henry County,3913,10.5
IL,17075,Iroquois County,2468,11.3
IL,17077,Jackson County,4156,9
IL,17079,Jasper County,807,11.1
IL,17081,Jefferson County,3393,11.5
IL,17083,Jersey County,1761,10.3
IL,17085,Jo Daviess County,2009,11.5
