zip,primary_city,state,FIPS,county,,latitude,longitude,DM_number,DM_percent
99640,Nondalton,AK,02164,Lake and Peninsula Borough,,59.96,-154.87
99647,Pedro Bay,AK,02164,Lake and Peninsula Borough,,59.86,-154.03
99648,Perryville,AK,02164,Lake and Peninsula Borough,,55.9,-159.27
99649,Pilot Point,AK,02164,Lake and Peninsula Borough,,57.83,-157.13
99653,Port Alsworth,AK,02164,Lake and Peninsula Borough,,60.46,-154.19
99629,Wasilla,AK,02170,Matanuska-Susitna Borough,,61.58,-149.44
99645,Palmer,AK,02170,Matanuska-Susitna Borough,,61.6,-148.46
99652,Big Lake,AK,02170,Matanuska-Susitna Borough,,61.46,-150.09
99654,Wasilla,AK,02170,Matanuska-Susitna Borough,,61.52,-149.57
99667,Skwentna,AK,02170,Matanuska-Susitna Borough,,61.93,-151.73
99674,Sutton,AK,02170,Matanuska-Susitna Borough,,61.86,-148.29
99676,Talkeetna,AK,02170,Matanuska-Susitna Borough,,62.42,-148.76
99683,Trapper Creek,AK,02170,Matanuska-Susitna Borough,,62.69,-151.07
99687,Wasilla,AK,02170,Matanuska-Susitna Borough,,61.36,-150.07
99688,Willow,AK,02170,Matanuska-Susitna Borough,,61.89,-149.73
99694,Houston,AK,02170,Matanuska-Susitna Borough,,61.66,-149.68
99509,Anchorage,AK,02020,Municipality of Anchorage,,61.17,-149.88
99510,Anchorage,AK,02020,Municipality of Anchorage,,61.22,-149.88
99511,Anchorage,AK,02020,Municipality of Anchorage,,61.11,-149.86
99513,Anchorage,AK,02020,Municipality of Anchorage,,61.21,-149.88
99514,Anchorage,AK,02020,Municipality of Anchorage,,61.2,-149.82
99519,Anchorage,AK,02020,Municipality of Anchorage,,61.19,-149.98
99520,Anchorage,AK,02020,Municipality of Anchorage,,61.21,-149.86
99521,Anchorage,AK,02020,Municipality of Anchorage,,61.2,-149.74
99522,Anchorage,AK,02020,Municipality of Anchorage,,61.15,-149.92
99523,Anchorage,AK,02020,Municipality of Anchorage,,61.16,-149.83
99524,Anchorage,AK,02020,Municipality of Anchorage,,61.18,-149.89
99529,Anchorage,AK,02020,Municipality of Anchorage,,61.18,-149.98
99530,Anchorage,AK,02020,Municipality of Anchorage,,61.26,-149.97
99599,Anchorage,AK,02020,Municipality of Anchorage,,61.21,-149.86
99695,Anchorage,AK,02020,Municipality of Anchorage,,61.45,-150.63
99659,Saint Michael,AK,02180,Nome Census Area,,63.47,-162.11
99671,Stebbins,AK,02180,Nome Census Area,,63.47,-162.28
99684,Unalakleet,AK,02180,Nome Census Area,,64.09,-160.36
99739,Elim,AK,02180,Nome Census Area,,64.63,-162.34
99742,Gambell,AK,02180,Nome Census Area,,63.75,-171.69
99753,Koyuk,AK,02180,Nome Census Area,,64.93,-161.14
99762,Nome,AK,02180,Nome Census Area,,64.71,-164.62
99769,Savoonga,AK,02180,Nome Census Area,,63.68,-170.49
99771,Shaktoolik,AK,02180,Nome Census Area,,64.25,-160.91
99772,Shishmaref,AK,02180,Nome Census Area,,66.02,-165.91
99778,Teller,AK,02180,Nome Census Area,,65.25,-166.36
99783,Wales,AK,02180,Nome Census Area,,65.61,-168.09
99784,White Mountain,AK,02180,Nome Census Area,,64.64,-163.73
99785,Brevig Mission,AK,02180,Nome Census Area,,65.44,-166.56
99721,Anaktuvuk Pass,AK,02185,North Slope Borough,,68.15,-151.71
99723,Barrow,AK,02185,North Slope Borough,,71.28,-156.78
99734,Prudhoe Bay,AK,02185,North Slope Borough,,70.01,-148.88
99747,Kaktovik,AK,02185,North Slope Borough,,70.12,-143.66
99759,Point Lay,AK,02185,North Slope Borough,,69.73,-162.82
99766,Point Hope,AK,02185,North Slope Borough,,68.34,-166.67
99782,Wainwright,AK,02185,North Slope Borough,,70.63,-159.96
99789,Nuiqsut,AK,02185,North Slope Borough,,69.83,-152.14
99791,Atqasuk,AK,02185,North Slope Borough,,70.48,-157.39
99727,Buckland,AK,02188,Northwest Arctic Borough,,65.97,-161.13
99736,Deering,AK,02188,Northwest Arctic Borough,,66.07,-162.73
99749,Kiana,AK,02188,Northwest Arctic Borough,,66.97,-160.43
99750,Kivalina,AK,02188,Northwest Arctic Borough,,67.73,-164.55
99751,Kobuk,AK,02188,Northwest Arctic Borough,,66.93,-156.88
99752,Kotzebue,AK,02188,Northwest Arctic Borough,,67.24,-161.19
99761,Noatak,AK,02188,Northwest Arctic Borough,,67.57,-163
99763,Noorvik,AK,02188,Northwest Arctic Borough,,66.83,-161.03
99770,Selawik,AK,02188,Northwest Arctic Borough,,66.59,-160.02
99773,Shungnak,AK,02188,Northwest Arctic Borough,,66.88,-157.15
99786,Ambler,AK,02188,Northwest Arctic Borough,,67.08,-157.9
99830,Kake,AK,02195,Petersburg Borough,,56.79,-134.19
99833,Petersburg,AK,02195,Petersburg Borough,,57.05,-132.62
99836,Port Alexander,AK,02195,Petersburg Borough,,56.21,-134.66
99903,Meyers Chuck,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.68,-132.19
99918,Coffman Cove,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.97,-132.74
99919,Thorne Bay,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.57,-132.39
99921,Craig,AK,02198,Prince of Wales-Outer Ketchikan Borough,,55.46,-132.83
